51.51576N,0.3375785W,30.97,20:33.21
51.51576N,0.3375785W,30.97,20:33.23
51.51576N,0.3375785W,30.97,20:33.24
51.51578N,0.3375825W,30.97,20:33.35
51.51581N,0.3375883W,30.99,20:33.36
51.51584N,0.3375953W,30.86,20:33.37
51.51589N,0.3376057W,30.68,20:33.38
51.51606N,0.3376473W,29.69,20:33.41
51.51613N,0.3376623W,28.54,20:33.42
51.51619N,0.3376778W,28.65,20:33.43
51.51625N,0.3376935W,28.73,20:33.44
51.51642N,0.33774W,28.49,20:33.47
51.51648N,0.3377553W,28.59,20:33.48
51.51653N,0.3377702W,28.7,20:33.49
51.51658N,0.3377838W,28.84,20:33.50
51.51663N,0.337796W,28.94,20:33.51
51.51668N,0.3378077W,29.33,20:33.52
51.51673N,0.3378195W,29.81,20:33.53
51.51678N,0.3378302W,30.24,20:33.54
51.51683N,0.3378412W,30.62,20:33.55
51.51702N,0.3378885W,30.7,20:33.58
51.51708N,0.3379048W,31.75,20:33.59
51.51714N,0.3379223W,31.86,20:34.00
51.51732N,0.3379778W,32.18,20:34.03
51.51739N,0.3379945W,33.34,20:34.04
51.51745N,0.3380092W,33.67,20:34.05
51.51765N,0.3380537W,34.0,20:34.08
51.51773N,0.3380655W,35.44,20:34.09
51.5178N,0.3380777W,35.64,20:34.10
51.51788N,0.338095W,36.18,20:34.11
51.51796N,0.3381157W,36.41,20:34.12
51.51804N,0.338138W,36.95,20:34.13
51.51828N,0.3382103W,37.41,20:34.16
51.51836N,0.3382372W,39.31,20:34.17
51.51844N,0.3382668W,39.94,20:34.18
51.51874N,0.3383677W,40.59,20:34.22
51.5188N,0.3383833W,42.51,20:34.23
51.51886N,0.3383985W,42.54,20:34.24
51.51892N,0.3384138W,42.73,20:34.25
51.51897N,0.3384277W,42.95,20:34.26
51.51902N,0.3384407W,43.16,20:34.27
51.51906N,0.3384515W,43.24,20:34.28
51.5191N,0.3384592W,43.37,20:34.29
51.51913N,0.3384657W,43.42,20:34.30
51.51917N,0.3384752W,43.56,20:34.33
51.51917N,0.3384752W,43.5,20:34.36
51.51917N,0.3384752W,43.5,20:34.37
51.51917N,0.3384752W,43.5,20:34.38
51.51917N,0.3384752W,43.5,20:34.39
51.51917N,0.3384752W,43.5,20:34.40
51.51917N,0.3384752W,43.5,20:34.41
51.51917N,0.3384752W,43.5,20:34.42
51.51917N,0.3384752W,43.5,20:34.43
51.51917N,0.3384752W,43.5,20:34.44
51.51919N,0.3384745W,43.5,20:34.45
51.51921N,0.3384727W,43.34,20:34.46
51.51925N,0.3384698W,43.06,20:34.47
51.51936N,0.338482W,43.1,20:34.49
51.51941N,0.3385035W,43.28,20:34.50
51.51947N,0.3385295W,43.36,20:34.51
51.51952N,0.3385677W,43.21,20:34.52
51.51958N,0.3386082W,42.93,20:34.53
51.51964N,0.3386452W,42.83,20:34.54
51.5197N,0.3386802W,42.76,20:34.55
51.51976N,0.3387135W,42.43,20:34.56
51.51982N,0.3387512W,42.04,20:34.57
51.51989N,0.3387868W,42.1,20:34.58
51.52009N,0.3389143W,41.74,20:35.01
51.52016N,0.3389637W,39.26,20:35.02
51.52023N,0.339015W,38.93,20:35.03
51.52044N,0.3391637W,38.76,20:35.06
51.52052N,0.3392112W,37.05,20:35.07
51.5206N,0.3392592W,36.45,20:35.08
51.52067N,0.339308W,36.0,20:35.09
51.52075N,0.3393582W,35.63,20:35.10
51.52084N,0.3394095W,35.19,20:35.11
51.52092N,0.339461W,34.64,20:35.12
51.521N,0.3395127W,33.97,20:35.13
51.52109N,0.3395658W,33.35,20:35.14
51.52118N,0.3396175W,32.94,20:35.15
51.52126N,0.3396672W,32.48,20:35.16
51.52134N,0.3397169W,32.0,20:35.17
51.52142N,0.3397661W,31.57,20:35.18
51.5215N,0.3398135W,31.06,20:35.19
51.52157N,0.3398625W,30.56,20:35.20
51.52164N,0.339912W,30.28,20:35.21
51.52171N,0.3399505W,30.2,20:35.22
51.52178N,0.3399838W,29.98,20:35.23
51.52185N,0.3400147W,29.78,20:35.24
51.52206N,0.3401098W,29.48,20:35.27
51.52219N,0.3401696W,28.69,20:35.29
51.52225N,0.3401977W,28.29,20:35.30
51.52241N,0.3402618W,28.02,20:35.33
51.52252N,0.3403136W,28.02,20:35.35
51.52258N,0.3403457W,26.48,20:35.36
51.52277N,0.3404438W,26.52,20:35.39
51.52284N,0.3404743W,24.71,20:35.40
51.5229N,0.3405047W,23.83,20:35.41
51.52305N,0.3406024W,23.0,20:35.44
51.5231N,0.3406152W,21.65,20:35.46
51.52311N,0.3406113W,22.46,20:35.47
51.52311N,0.3406113W,22.24,20:35.48
51.52311N,0.3406113W,22.24,20:35.49
51.52311N,0.3406113W,22.24,20:35.50
51.52311N,0.3406113W,22.24,20:35.51
51.52311N,0.3406113W,22.24,20:35.54
51.52311N,0.3406113W,22.24,20:35.55
51.52311N,0.3406113W,22.24,20:35.56
51.52311N,0.3406113W,22.24,20:35.57
51.52311N,0.3406113W,22.24,20:35.58
51.52311N,0.3406113W,22.24,20:35.59
51.5231N,0.3406067W,22.24,20:36.00
51.52309N,0.3406024W,22.79,20:36.01
51.52308N,0.3405958W,23.46,20:36.02
51.52304N,0.3405899W,24.69,20:36.05
51.52303N,0.3405897W,27.56,20:36.06
51.52301N,0.3405922W,28.26,20:36.07
51.52296N,0.3405833W,28.78,20:36.10
51.52295N,0.3405775W,29.6,20:36.11
51.52294N,0.3405696W,29.4,20:36.12
51.52293N,0.3405688W,30.01,20:36.13
51.52293N,0.3405688W,30.03,20:36.14
51.52292N,0.3405608W,30.03,20:36.15
51.52288N,0.3405407W,30.85,20:36.18
51.52286N,0.3405347W,32.71,20:36.19
51.52285N,0.3405342W,32.49,20:36.20
51.52284N,0.3405268W,32.06,20:36.21
51.52282N,0.3405225W,32.78,20:36.22
51.52279N,0.3405127W,33.21,20:36.23
51.52272N,0.3404858W,33.52,20:36.26
51.52271N,0.3404813W,32.43,20:36.27
51.5227N,0.340475W,32.16,20:36.28
51.52264N,0.3404582W,32.23,20:36.31
51.52263N,0.340454W,31.19,20:36.32
51.52261N,0.3404517W,31.53,20:36.33
51.5226N,0.3404464W,31.41,20:36.34
51.52259N,0.3404385W,31.42,20:36.35
51.52258N,0.3404313W,31.47,20:36.36
51.52257N,0.3404253W,31.42,20:36.37
51.52256N,0.3404188W,31.47,20:36.38
51.52255N,0.3404128W,31.6,20:36.39
51.52254N,0.3404065W,31.83,20:36.40
51.52253N,0.3404008W,32.04,20:36.41
51.52252N,0.340395W,32.07,20:36.42
51.52251N,0.3403895W,32.13,20:36.43
51.5225N,0.3403833W,32.28,20:36.44
51.52249N,0.3403765W,32.33,20:36.45
51.52248N,0.3403698W,32.49,20:36.46
51.52247N,0.340363W,32.55,20:36.47
51.52246N,0.3403553W,32.75,20:36.48
51.52245N,0.3403503W,32.87,20:36.49
51.52245N,0.3403503W,32.82,20:36.50
51.52245N,0.3403503W,32.82,20:36.51
51.52245N,0.3403503W,32.82,20:36.52
51.52245N,0.3403503W,32.82,20:36.53
51.52245N,0.3403503W,32.82,20:36.54
51.52245N,0.3403503W,32.82,20:36.55
51.52245N,0.3403467W,32.82,20:36.56
51.52245N,0.3403467W,32.95,20:36.57
51.52243N,0.3403445W,32.95,20:36.58
51.52242N,0.3403392W,33.21,20:37.01
51.5224N,0.340339W,33.92,20:37.02
51.52238N,0.3403343W,34.73,20:37.03
51.52237N,0.3403265W,35.46,20:37.04
51.52235N,0.340326W,36.11,20:37.05
